0.0000, 2.0000, 8.0000
0.0599, 2.0000, 8.0000
0.0555, 2.0000, 7.4125
0.0535, 2.0000, 6.8685
0.0545, 2.0000, 6.3439
0.0538, 2.0000, 5.8093
0.0529, 2.0000, 5.2812
0.0529, 2.0000, 4.7624
0.0529, 2.0000, 4.2438
0.0526, 2.0000, 3.7253
0.0525, 2.0000, 3.2096
0.0529, 2.0000, 2.6945
0.0528, 2.0000, 2.1755
0.0529, 2.0000, 1.6575
0.0524, 2.0000, 1.1390
0.0534, 2.0000, 0.6249
0.0647, 2.0000, 0.1014
0.0529, 2.0000, -0.5335
0.0529, 2.0000, -1.0526
0.0528, 2.0000, -1.5711
0.0527, 2.0000, -2.0894
0.0626, 2.0000, -2.6061
0.0529, 2.0000, -3.2202
0.0527, 2.0000, -3.7393
0.0544, 2.0000, -4.2566
0.0569, 2.0000, -4.7901
0.0533, 2.0000, -5.3487
0.0527, 2.0000, -5.8719
0.0537, 2.0000, -6.3888
0.0629, 2.0000, -6.9158
0.0572, 2.0000, -7.5328
0.0582, 2.0000, -8.0939
0.0577, 2.0000, -8.6651
0.0538, 2.0000, -9.2311
0.0550, 2.0000, -9.7589
0.0531, 2.0000, -10.2979
0.0621, 2.0000, -10.8188
0.0529, 2.0000, -11.4285
0.0576, 2.0000, -11.9476
0.0534, 2.0000, -12.5122
0.0538, 2.0000, -13.0365
0.0525, 2.0000, -13.5645
0.0547, 2.0000, -14.0794
0.0577, 2.0000, -14.6161
0.0591, 2.0000, -15.1823
0.0586, 2.0000, -15.7616
0.0526, 2.0000, -16.3360
0.0546, 2.0000, -16.8517
0.0532, 2.0000, -17.3873
0.0545, 2.0000, -17.9089
0.0639, 2.0000, -18.4440
0.0550, 2.0000, -19.0706
0.0537, 2.0000, -19.6098
0.0535, 2.0000, -20.1370
0.0579, 2.0000, -20.6622
0.0561, 2.0000, -21.2298
0.0540, 2.0000, -21.7806
0.0524, 2.0000, -22.3105
0.0580, 2.0000, -22.8250
0.0533, 2.0000, -23.3937
0.0536, 2.0000, -23.9170
0.0541, 2.0000, -24.4430
0.0543, 2.0000, -24.9736
0.0564, 2.0000, -25.5061
0.0540, 2.0000, -26.0598
0.0591, 2.0000, -26.5896
0.0544, 2.0000, -27.1689
0.0604, 2.0000, -27.7027
0.0536, 2.0000, -28.2950
0.0541, 2.0000, -28.8206
0.0543, 2.0000, -29.3514
0.0549, 2.0000, -29.8836
0.0551, 2.0000, -30.4217
0.0593, 2.0000, -30.9621
0.0528, 2.0000, -31.5437
0.0540, 2.0000, -32.0614
0.0541, 2.0000, -32.5909
0.0623, 2.0000, -33.1212
0.0529, 2.0000, -33.7321
0.0637, 2.0000, -34.2515
0.0551, 2.0000, -34.8760
0.0544, 2.0000, -35.4166
0.0553, 2.0000, -35.9499
0.0551, 2.0000, -36.4923
0.0530, 2.0000, -37.0325
0.0541, 2.0000, -37.5526
0.0539, 2.0000, -38.0838
0.0550, 2.0000, -38.6126
0.0576, 2.0000, -39.1518
0.0534, 2.0000, -39.7164
0.0627, 2.0000, -40.2400
0.0534, 2.0000, -40.8552